0,1,2,3,4,5,6,7,Label
0.41003412,0.32268807,0.22295941,0.20179574,0.15773948,0.14062534,0.14585714,0.16268867,1
0.34583086,0.29701468,0.19973317,0.22285986,0.13076577,0.14739893,0.1296038,0.16081811,1
0.31588772,0.26000756,0.21378694,0.17569962,0.1478869,0.14987175,0.13788256,0.17718434,1
0.37500334,0.32632908,0.20332111,0.18537949,0.1413476,0.12102304,0.17232555,0.12559305,1
0.3869536,0.34770137,0.22847386,0.2221373,0.1746517,0.15732476,0.11725847,0.16931815,1
0.3509639,0.28836766,0.25061968,0.22483413,0.16698317,0.16301033,0.14179029,0.13768634,1
0.3487565,0.2815544,0.19181663,0.18120216,0.14523904,0.09944268,0.16811801,0.14495002,1
0.3315127,0.26567334,0.17621858,0.19376558,0.11999964,0.1507904,0.11969498,0.112196594,1
0.3841643,0.35759664,0.23662677,0.21990898,0.15658607,0.15304716,0.1657351,0.16129869,1
0.33641833,0.29864258,0.17984462,0.17746569,0.16314693,0.1861562,0.14732616,0.14082079,1
0.38258383,0.28508872,0.20940313,0.20972213,0.112683184,0.17823863,0.12978137,0.13572739,1
0.3211363,0.24613847,0.17997406,0.21029711,0.1608875,0.13959508,0.14740132,0.15455888,1
0.30925456,0.27267942,0.18753327,0.20923316,0.1598296,0.15349306,0.11754624,0.15509649,1
0.35636386,0.24428126,0.2107399,0.17708167,0.14863631,0.1459811,0.14613292,0.16510496,1
0.3654283,0.32323658,0.20734817,0.20439093,0.15790406,0.16495858,0.18244722,0.1673054,1
0.30735126,0.23965466,0.21352689,0.17712824,0.15810332,0.14513943,0.16345347,0.14160874,1
0.27707735,0.23673914,0.21295704,0.18234839,0.13362113,0.18376978,0.1415335,0.14706993,1
0.33387023,0.30406988,0.2124844,0.19823767,0.15604044,0.16408208,0.12549192,0.13927053,1
0.3134659,0.2646505,0.20155294,0.22524346,0.14200875,0.16106825,0.1250789,0.14808637,1
0.35852808,0.29532647,0.24159953,0.20297624,0.12198228,0.15137301,0.15178008,0.12197595,1
0.3316312,0.2937784,0.25156546,0.20475614,0.11795101,0.17868361,0.17479047,0.13659106,1
0.3665581,0.29309648,0.21660687,0.16603152,0.1492087,0.12120897,0.14852725,0.17933236,1
0.32883328,0.24732131,0.23484571,0.16853647,0.13306233,0.14645672,0.14025454,0.15842701,1
0.32412434,0.29935712,0.1989834,0.1832376,0.14140923,0.14019044,0.14565608,0.19430168,1
0.3370138,0.3076908,0.21289326,0.2133148,0.13927332,0.13673484,0.16843112,0.120489985,1
0.34399244,0.27477884,0.18816471,0.18464985,0.17729095,0.13146956,0.1603991,0.16054264,1
0.3777469,0.31341514,0.18630967,0.18546788,0.1537714,0.15469882,0.13871136,0.10701059,1
0.35101703,0.34237757,0.258963,0.22542636,0.1709232,0.16508909,0.15477718,0.13551421,1
0.3203036,0.28147393,0.23108481,0.14740062,0.15136579,0.115678966,0.16632602,0.13477367,1
0.30687588,0.24317783,0.19703884,0.20211987,0.1218803,0.1857122,0.12677956,0.1490385,1
0.37867117,0.28791186,0.20006678,0.20396514,0.13973273,0.15319593,0.14837918,0.14873661,1
0.3486862,0.29408813,0.17749451,0.21808188,0.13767086,0.16902645,0.14002818,0.17981787,1
0.28648856,0.25944898,0.21928084,0.19161022,0.1569268,0.15702145,0.1642325,0.11834791,1
0.32494968,0.30491894,0.2101708,0.1891253,0.18308975,0.1703768,0.16712664,0.14300728,1
0.33321258,0.25242633,0.2081854,0.19622757,0.1409252,0.14266318,0.15580317,0.17613623,1
0.2926829,0.26263618,0.20938726,0.21863493,0.15625475,0.17474201,0.18061319,0.15252472,1
0.31617314,0.26552966,0.2046428,0.20129032,0.10596501,0.16629812,0.102513395,0.16972509,1
0.3236924,0.27991435,0.23472919,0.22816737,0.161037,0.14681798,0.13903928,0.14328165,1
0.349819,0.32484633,0.21016319,0.19799082,0.14662693,0.13795891,0.11094775,0.12237852,1
0.33670923,0.2758913,0.21372187,0.22143883,0.16511095,0.14741752,0.1444443,0.1695045,1
0.31035617,0.28790775,0.2350498,0.16368109,0.1425077,0.14802004,0.14373691,0.15667762,1
0.3923555,0.32644913,0.23320195,0.19752017,0.16778494,0.18754555,0.1317127,0.16137737,1
0.35428306,0.27966776,0.19320802,0.17993575,0.15716134,0.1493474,0.16264154,0.17213508,1
0.27710107,0.2585474,0.19627152,0.18806605,0.15602434,0.15900673,0.13159105,0.14091784,1
0.3375469,0.30559656,0.22310138,0.1799937,0.1840606,0.13324772,0.13735223,0.14527763,1
0.49086124,0.40276605,0.2686608,0.21707548,0.15286572,0.1477043,0.16295443,0.17316228,1
0.3158728,0.25701198,0.20188268,0.17560512,0.12640876,0.12224593,0.11906299,0.15954053,1
0.30758107,0.2455619,0.20129219,0.21454127,0.16169298,0.2110674,0.12522799,0.12901282,1
0.37494105,0.30753255,0.19299088,0.20940627,0.105512686,0.1372005,0.12254662,0.17736928,1
0.31233093,0.25405848,0.23472342,0.1749807,0.17411959,0.1473171,0.14251901,0.15303753,1
0.31894064,0.22994733,0.15815021,0.19937995,0.15528592,0.17706148,0.11825519,0.18062201,1
0.29330269,0.29429442,0.20748773,0.19707578,0.14478251,0.16960587,0.14831732,0.1257355,1
0.33755326,0.27959654,0.22650342,0.16230556,0.15277837,0.1531885,0.11956826,0.15811618,1
0.39221492,0.33491668,0.23122984,0.19375469,0.13665271,0.15007704,0.1088788,0.15504716,1
0.2978663,0.25531754,0.1923097,0.20333876,0.1626666,0.15666431,0.14262134,0.14816512,1
0.39536318,0.29830334,0.21712348,0.2388543,0.15231876,0.13864322,0.14698648,0.15078318,1
0.3259523,0.276675,0.20043378,0.15221244,0.12612185,0.18161277,0.13644269,0.13964447,1
0.35706413,0.30690017,0.18194519,0.16072518,0.14025429,0.110957064,0.1780091,0.123082064,1
0.3291913,0.26632237,0.170178,0.18299519,0.17552215,0.15130013,0.1384419,0.15126634,1
0.3295041,0.26414427,0.16835035,0.20572312,0.16452485,0.17161359,0.17810497,0.15449962,1
0.31434557,0.27609918,0.19291508,0.12992463,0.121292196,0.16914245,0.13016355,0.117332175,1
0.33564973,0.2680398,0.20914845,0.22413385,0.15456784,0.13365829,0.14552331,0.13882568,1
